state,state_code,bill_id,bill_url,title,author,author_partisanship,topics,status,date_of_last_action,introduced_year_month,summary,history,text_len,word_count,definition_found,definition,PHCI,UR,BPPRIV,NAICS54_tech_employment,bill_year,state_partisanship
Arizona,AZ,AZ H    2847,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000H2847&ciq=urn:user:PA196471263&client_md=70f28e1f4662d99a9a67f73d0a6fa15f&mode=current_text,Rental Price Fixing and Algorithmic Pricing,De Los Santos (D),Democrat,"Housing, Private Sector Use",Failed - Adjourned - House Commerce Committee,45698,2025-02,"Relates to rental price fixing, relates to algorithmic pricing.","02/10/2025 - INTRODUCED.
02/12/2025 - To HOUSE Committee on COMMERCE.
02/12/2025 - Additionally referred to HOUSE Committee on RULES.",2386,369,TRUE,MEANS ANY COMPUTATIONAL PROCESS THAT PROCESSES DATA TO RECOMMEND OR SET A PRICE OR COMMERCIAL TERMS THAT IS IN OR AFFECTING INTERSTATE OR FOREIGN COMMERCE. INCLUDES COMPUTATIONAL PROCESS DERIVED FROM MACHINE LEARNING OR OTHER ARTIFICIAL INTELLIGENCE TECHNIQUES.,185.34,3.9,3747,169.5,2025,Divided
Arizona,AZ,AZ S    1140,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000S1140&ciq=urn:user:PA196471263&client_md=864a0bf1da27e339d312eadf817be506&mode=current_text,Telehealth Program and Homeless and Recovery Services,Miranda (D),Democrat,"Appropriations, Government Use, Health Use",Failed - Adjourned - Senate Health and Human Services Committee,45673,2025-01,"Relates to telehealth program, relates to homeless, relates to recovery services.","01/16/2025 - INTRODUCED.
01/22/2025 - To SENATE Committee on HEALTH AND HUMAN SERVICES.
01/22/2025 - Additionally referred to SENATE Committee on APPROPRIATIONS.
01/22/2025 - Additionally referred to SENATE Committee on RULES.",4591,657,FALSE,NA,184.86,3.9,3672,170.1,2025,Divided
Arizona,AZ,AZ S    1279,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000S1279&ciq=urn:user:PA196471263&client_md=3a28fc4383aed4030e770000778dc358&mode=current_text,Sheriffs Criminal Justice Commission,Finchem (R),Republican,Government Use,Failed - Senate Third Reading,45715,2025-01,"Establishes the Sheriffs Criminal Justice Commission, provides for membership, provides that the commission shall, among other things, monitor the progress and implementation of new and continuing criminal justice legislation and prepare a biennial criminal justice system review report, provides for the State Aid for Juvenile Dependency Proceedings Fund, provides for the Law Enforcement Crime Victim Notification Fund, provides for appropriations.","01/23/2025 - INTRODUCED.
01/27/2025 - To SENATE Committee on RULES.
02/17/2025 - Additionally referred to SENATE Committee on JUDICIARY AND ELECTIONS.
02/19/2025 - From SENATE Committee on JUDICIARY AND ELECTIONS:  Do pass with amendment. Strike Everything.
02/24/2025 - From SENATE Committee on RULES:  Do pass proper for consideration.
02/27/2025 - To SENATE Committee of the WHOLE.
02/27/2025 - In SENATE Committee of the WHOLE.  JUDICIARY AND ELECTIONS Committee amendment adopted.
02/27/2025 - In SENATE Committee of the WHOLE.  Amended.
02/27/2025 - From SENATE Committee of the WHOLE.  To third reading.
02/28/2025 - SENATE Engrossed. Printed.
03/06/2025 - In SENATE.  Read third time.  Failed to pass SENATE.
03/06/2025 - Motion to reconsider.  Reconsideration granted.
03/17/2025 - In SENATE.  Read third time.  Failed to pass SENATE.",42378,6578,FALSE,NA,184.86,3.9,3672,170.1,2025,Divided
Arizona,AZ,AZ S    1295,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2025000S1295&ciq=urn:user:PA196471263&client_md=f591a12a7d421721586d821369b43b05&mode=current_text,Fraudulent Voice Recordings,Kavanagh (R),Republican,NA,Enacted - Act No.  184,05/13/2025 - Enacted,2025-01,"Relates to forgery, provides that a person commits criminal impersonation by using a computer generated voice recording, image or video of another person with the intent to defraud other persons or with the intent to harass other persons, provides that criminal impersonation is a class 5 or 6 felony.","01/27/2025 - INTRODUCED.
01/28/2025 - To SENATE Committee on JUDICIARY AND ELECTIONS.
01/28/2025 - Additionally referred to SENATE Committee on RULES.
02/05/2025 - From SENATE Committee on JUDICIARY AND ELECTIONS:  Do pass with amendment.
02/10/2025 - From SENATE Committee on RULES:  Do pass proper for consideration.
02/25/2025 - To SENATE Committee of the WHOLE.
02/25/2025 - In SENATE Committee of the WHOLE.  JUDICIARY AND ELECTIONS Committee amendment adopted.
02/25/2025 - From SENATE Committee of the WHOLE.  To third reading.
02/25/2025 - SENATE Engrossed. Printed.
02/26/2025 - In SENATE.  Read third time.  Passed SENATE.  *****To HOUSE.
03/10/2025 - To HOUSE Committee on JUDICIARY.
03/10/2025 - Additionally referred to HOUSE Committee on RULES.
03/19/2025 - From HOUSE Committee on JUDICIARY:  Do pass.
04/01/2025 - From HOUSE Committee on RULES:  Do pass constitutional and in proper form.
04/01/2025 - Withdrawn from HOUSE Consent Calendar.
04/01/2025 - Placed on HOUSE Consent Calendar.
04/09/2025 - To HOUSE Committee of the WHOLE.
04/09/2025 - From HOUSE Committee of the WHOLE.  To third reading.
04/14/2025 - To HOUSE Committee of the WHOLE.
04/14/2025 - In HOUSE Committee of the WHOLE.  Amended.
04/14/2025 - From HOUSE Committee of the WHOLE.  To third reading.
04/14/2025 - HOUSE Engrossed. Printed.
05/05/2025 - In HOUSE.  Read third time.  Passed HOUSE.  *****To SENATE for concurrence.
05/07/2025 - SENATE concurred in HOUSE amendments.
05/07/2025 - In SENATE. Finally passed.
05/07/2025 - *****To GOVERNOR.
05/13/2025 - Signed by GOVERNOR.
05/13/2025 - Chapter No. 184",1489,248,FALSE,NA,184.86,3.9,3672,170.1,2025,Divided
California,CA,CA A    101,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A101&ciq=urn:user:PA196471263&client_md=cee0d66de4ffc7ca5253f39adf6a2173&mode=current_text,Budget Act of 2025,Gabriel (D),Democrat,"Appropriations, Government Use",Pending - Carryover - Senate Budget & Fiscal Review Committee,45817,2025-01,Makes appropriations for the support of State government for the specified fiscal year.,"01/08/2025 - INTRODUCED.
02/03/2025 - To ASSEMBLY Committee on BUDGET.
03/17/2025 - In ASSEMBLY.  Suspend Assembly Rule 96.
03/17/2025 - Withdrawn from ASSEMBLY Committee on BUDGET.
03/17/2025 - In ASSEMBLY.  Ordered to second reading.
03/18/2025 - In ASSEMBLY.  Read second time.  To third reading.
03/20/2025 - In ASSEMBLY.  Read third time.  Passed ASSEMBLY.  *****To SENATE.
04/02/2025 - To SENATE Committee on BUDGET AND FISCAL REVIEW.
06/09/2025 - From SENATE Committee on BUDGET AND FISCAL REVIEW with author's amendments.
06/09/2025 - In SENATE.  Read second time and amended. Re-referred to Committee on BUDGET AND FISCAL REVIEW.
06/11/2025 - From SENATE Committee on BUDGET AND FISCAL REVIEW:  Do pass.
06/12/2025 - In SENATE.  Read second time.  To third reading.
06/17/2025 - Re-referred to SENATE Committee on BUDGET AND FISCAL REVIEW.",1887277,271438,FALSE,NA,171.36,5.4,6657,1390.9,2025,Democrat
California,CA,CA A    1018,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A1018&ciq=urn:user:PA196471263&client_md=671b916d99bfd868b451dced2c646c5a&mode=current_text,Automated Decision Systems,Bauer-Kahan (D),Democrat,"Audit, Education/Training, Health Use, Housing, Impact Assessment, Effect on Labor/Employment, Notification, Private Sector Use, Responsible Use",Pending - Carryover - Senate Inactive File,45905,2025-02,"Requires a deployer of a covered automated decision system to take certain actions, including conduct impact assessments of the covered ADS and provide deployers to whom the developer transfers the covered ADS with certain information, including a high-level summary of the results of those impact assessments.","02/20/2025 - INTRODUCED.
03/10/2025 - To ASSEMBLY Committees on PRIVACY AND CONSUMER PROTECTION and JUDICIARY.
04/01/2025 - In ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION: Not Heard.
04/10/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION with author's amendments.
04/10/2025 - In ASSEMBLY.  Read second time and amended.  Re-referred to  Committee on PRIVACY AND CONSUMER PROTECTION.
04/22/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION: Do pass to Committee on JUDICIARY.
04/29/2025 - From ASSEMBLY Committee on JUDICIARY:  Do pass as amended to Committee on APPROPRIATIONS.
05/01/2025 - In ASSEMBLY.  Read second time and amended. Re-referred to Committee on APPROPRIATIONS.
05/14/2025 - In ASSEMBLY Committee on APPROPRIATIONS: To Suspense File.
05/23/2025 - From ASSEMBLY Committee on APPROPRIATIONS:  Do pass.
05/27/2025 - In ASSEMBLY.  Read second time.  To third reading.
06/02/2025 - In ASSEMBLY.  Read third time.  Passed ASSEMBLY.  *****To SENATE.
06/11/2025 - To SENATE Committee on JUDICIARY.
07/03/2025 - From SENATE Committee on JUDICIARY with author's amendments.
07/03/2025 - In SENATE.  Read second time and amended. Re-referred to Committee on JUDICIARY.
07/15/2025 - From SENATE Committee on JUDICIARY:  Do pass as amended to Committee on APPROPRIATIONS.
07/17/2025 - In SENATE.  Read second time and amended. Re-referred to Committee on APPROPRIATIONS.
08/18/2025 - In SENATE Committee on APPROPRIATIONS: To Suspense File.
08/29/2025 - From SENATE Committee on APPROPRIATIONS:  Do pass.
08/29/2025 - In SENATE.  Read second time.  To third reading.
09/05/2025 - In SENATE.  Read third time and amended.  To second reading.
09/08/2025 - In SENATE.  Read second time.  To third reading.
09/13/2025 - In SENATE.  From third reading.  To Inactive File.",39013,6048,TRUE,"an engineered or machine-based system that varies in its level of autonomy and that can, for explicit or implicit objectives, infer from the input it receives how to generate outputs that can influence physical or virtual environments.",171.74,5.4,7247,1386.3,2025,Democrat
California,CA,CA A    102,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A102&ciq=urn:user:PA196471263&client_md=755a31b49b2fd88d66c24a8acf6dd7d1&mode=current_text,Budget Act of 2025,Gabriel (D),Democrat,"Appropriations, Government Use",Enacted - Act No.  2025-005,06/27/2025 - Enacted,2025-01,"Provides that the Budget Act of 2025 would make appropriations for the support of State government for the specified fiscal year. Amends the Budget Act of 2025 by amending, adding, and repealing items of appropriation and making other changes. Provides for the support of, among other things, the Legislative Analyst's Office, the State Court Facilities Construction Fund, the Judicial Branch, local assistance, and the Governor's Office of Business and Economic Development.","01/08/2025 - INTRODUCED.
02/03/2025 - To ASSEMBLY Committee on BUDGET.
03/17/2025 - In ASSEMBLY.  Suspend Assembly Rule 96.
03/17/2025 - Withdrawn from ASSEMBLY Committee on BUDGET.
03/17/2025 - In ASSEMBLY.  Ordered to second reading.
03/18/2025 - In ASSEMBLY.  Read second time.  To third reading.
03/20/2025 - In ASSEMBLY.  Read third time.  Passed ASSEMBLY.  *****To SENATE.
04/02/2025 - To SENATE Committee on BUDGET AND FISCAL REVIEW.
06/11/2025 - In SENATE Committee on BUDGET AND FISCAL REVIEW:  Not heard.
06/24/2025 - From SENATE Committee on BUDGET AND FISCAL REVIEW with author's amendments.
06/24/2025 - In SENATE.  Read second time and amended. Re-referred to Committee on BUDGET AND FISCAL REVIEW.
06/25/2025 - From SENATE Committee on BUDGET AND FISCAL REVIEW:  Do pass.
06/26/2025 - In SENATE.  Read second time.  To third reading.
06/27/2025 - In SENATE.  Read third time.  Passed SENATE.  *****To ASSEMBLY for concurrence.
06/27/2025 - In ASSEMBLY.  Assembly Rule 63 suspended.
06/27/2025 - In ASSEMBLY.  ASSEMBLY concurred in SENATE amendments.  To enrollment.
06/27/2025 - Enrolled.
06/27/2025 - *****To GOVERNOR.
06/27/2025 - Signed by GOVERNOR.
06/27/2025 - Chaptered by Secretary of State.  Chapter No. 2025-005",649674,97246,FALSE,NA,171.36,5.4,6657,1390.9,2025,Democrat
California,CA,CA A    1024,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A1024&ciq=urn:user:PA196471263&client_md=c937b3fe81b45fb1efe46c458521d658&mode=current_text,Dept. of Fish and Wildlife: San Gabriel Valley,Harabedian (D),Democrat,Government Use,Pending - Carryover - Assembly Appropriations Committee,45708,2025-02,"Establishes the San Gabriel Valley Bear Management and Community Safety Act, which would require, on or before January 1, 2027, the Department of Fish and Wildlife to develop a regional plan specific to the cities located within the San Gabriel Valley in the County of Los Angeles to address issues relating to bears in the community. Requires the plan to include various components, including, among other things, an overview of the behaviors of the bears in the San Gabriel Mountains.","02/20/2025 - INTRODUCED.
03/10/2025 - To ASSEMBLY Committee on WATER, PARKS AND WILDLIFE.
04/08/2025 - From ASSEMBLY Committee on WATER, PARKS AND WILDLIFE:  Do pass to Committee on APPROPRIATIONS.
04/23/2025 - In ASSEMBLY Committee on APPROPRIATIONS: To Suspense File.
05/23/2025 - In ASSEMBLY Committee on APPROPRIATIONS:  Held in committee.",2527,411,FALSE,NA,171.74,5.4,7247,1386.3,2025,Democrat
California,CA,CA A    103,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A103&ciq=urn:user:PA196471263&client_md=f580d3cf6c8ba290eff910f7f1ce1dc4&mode=current_text,"Budget Acts of 2022, 2023, and 2024",Gabriel (D),Democrat,"Appropriations, Education Use, Education/Training",Pending - Carryover - Senate Budget & Fiscal Review Committee,45832,2025-01,"Provides that the Budget Act of 2022, the Budget Act of 2023, and the Budget Act of 2024 made appropriations for the support of State government for the specified fiscal years. Amends those budget acts by amending, adding, and repealing items of appropriation and making other changes.","01/08/2025 - INTRODUCED.
02/03/2025 - To ASSEMBLY Committee on BUDGET.
03/17/2025 - In ASSEMBLY.  Suspend Assembly Rule 96.
03/17/2025 - Withdrawn from ASSEMBLY Committee on BUDGET.
03/17/2025 - In ASSEMBLY.  Ordered to second reading.
03/18/2025 - In ASSEMBLY.  Read second time.  To third reading.
03/20/2025 - In ASSEMBLY.  Read third time.  Passed ASSEMBLY.  *****To SENATE.
04/02/2025 - To SENATE Committee on BUDGET AND FISCAL REVIEW.
06/24/2025 - From SENATE Committee on BUDGET AND FISCAL REVIEW with author's amendments.
06/24/2025 - In SENATE.  Read second time and amended. Re-referred to Committee on BUDGET AND FISCAL REVIEW.
06/25/2025 - From SENATE Committee on BUDGET AND FISCAL REVIEW:  Do pass.
06/26/2025 - In SENATE.  Read second time.  To third reading.
07/02/2025 - Re-referred to SENATE Committee on BUDGET AND FISCAL REVIEW.",191090,29420,FALSE,NA,171.36,5.4,6657,1390.9,2025,Democrat
California,CA,CA A    1064,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A1064&ciq=urn:user:PA196471263&client_md=c9b297516b61ca752a93968016ea0bff&mode=current_text,Leading Ethical AI Development (LEAD) for Kids Act,Bauer-Kahan (D),Democrat,Private Sector Use,Vetoed - Vetoed,10/13/2025 - Vetoed,2025-02,"Provides for the Leading Ethical AI Development for Kids Act. Prohibits a person, partnership, corporation, business entity, or state or local government agency that makes a companion chatbot available to users from making a companion chatbot available to a child unless the companion chatbot is not foreseeably capable of doing certain things that could harm a child, including encouraging the child to engage in self-harm, suicidal ideation, violence, consumption of drugs or alcohol, or disordered eating.","02/20/2025 - INTRODUCED.
03/10/2025 - To ASSEMBLY Committees on PRIVACY AND CONSUMER PROTECTION and JUDICIARY.
04/01/2025 - In ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION: Not Heard.
04/10/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION with author's amendments.
04/10/2025 - In ASSEMBLY.  Read second time and amended.  Re-referred to  Committee on PRIVACY AND CONSUMER PROTECTION.
04/22/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION: Do pass to Committee on JUDICIARY.
04/23/2025 - In ASSEMBLY. Coauthors revised.
04/29/2025 - From ASSEMBLY Committee on JUDICIARY:  Do pass as amended to Committee on APPROPRIATIONS.
05/01/2025 - In ASSEMBLY.  Read second time and amended. Re-referred to Committee on APPROPRIATIONS.
05/14/2025 - In ASSEMBLY Committee on APPROPRIATIONS: To Suspense File.
05/23/2025 - From ASSEMBLY Committee on APPROPRIATIONS:  Do pass as amended.
05/23/2025 - In ASSEMBLY.  Assembly Rule 63 suspended.
05/23/2025 - In ASSEMBLY.  Read second time and amended.  To second reading.
05/27/2025 - In ASSEMBLY.  Read second time.  To third reading.
06/02/2025 - In ASSEMBLY.  Read third time.  Passed ASSEMBLY.  *****To SENATE.
06/11/2025 - To SENATE Committee on JUDICIARY.
07/15/2025 - From SENATE Committee on JUDICIARY:  Do pass as amended to Committee on APPROPRIATIONS.
07/17/2025 - In SENATE.  Read second time and amended. Re-referred to Committee on APPROPRIATIONS.
08/18/2025 - In SENATE Committee on APPROPRIATIONS: To Suspense File.
08/29/2025 - From SENATE Committee on APPROPRIATIONS:  Do pass as amended.
08/29/2025 - In SENATE.  Read second time and amended.  To second reading.
09/02/2025 - In SENATE.  Read second time.  To third reading.
09/05/2025 - In SENATE.  Read third time and amended.  To second reading.
09/08/2025 - In SENATE.  Read second time.  To third reading.
09/10/2025 - In SENATE.  Read third time.  Passed SENATE.  *****To ASSEMBLY for concurrence.
09/11/2025 - In ASSEMBLY.  ASSEMBLY concurred in SENATE amendments.  To enrollment.
09/15/2025 - Enrolled.
09/23/2025 - *****To GOVERNOR.
10/13/2025 - Vetoed by GOVERNOR.",8598,1248,TRUE,"an engineered or machine-based system that varies in its level of autonomy and that can, for explicit or implicit objectives, infer from the input it receives how to generate outputs that can influence physical or virtual environments.",171.74,5.4,7247,1386.3,2025,Democrat
California,CA,CA A    1137,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A1137&ciq=urn:user:PA196471263&client_md=6ccfdc41e1912021304cfb1ae323b512&mode=current_text,Reporting Mechanism: Child Sexual Abuse Material,Krell (D),Democrat,"Child Pornography, Private Sector Use",Pending - Carryover - Assembly Appropriations Committee,45768,2025-02,"Provides that existing law requires a social media platform to take certain actions with respect to child sexual abuse material on the social media platform, including by requiring the platform to provide a means for a user who is a State resident to report material. Requires a social media company to ensure review by a natural person if there is not an established or known hash match to child sexual abuse material with respect to the reported material and the reported material is not otherwise blocked.","02/20/2025 - INTRODUCED.
03/24/2025 - To ASSEMBLY Committees on PRIVACY AND CONSUMER PROTECTION and JUDICIARY.
03/24/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION with author's amendments.
03/24/2025 - In ASSEMBLY.  Read second time and amended.  Re-referred to  Committee on PRIVACY AND CONSUMER PROTECTION.
04/10/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION with author's amendments.
04/10/2025 - In ASSEMBLY.  Read second time and amended.  Re-referred to  Committee on PRIVACY AND CONSUMER PROTECTION.
04/21/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION with author's amendments.
04/21/2025 - In ASSEMBLY.  Read second time and amended.  Re-referred to  Committee on PRIVACY AND CONSUMER PROTECTION.
04/22/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION: Do pass to Committee on JUDICIARY.
04/23/2025 - In ASSEMBLY. Coauthors revised.
04/29/2025 - From ASSEMBLY Committee on JUDICIARY:  Do pass to Committee on APPROPRIATIONS.
04/30/2025 - In ASSEMBLY. Coauthors revised.
05/07/2025 - In ASSEMBLY Committee on APPROPRIATIONS: To Suspense File.
05/23/2025 - In ASSEMBLY Committee on APPROPRIATIONS:  Held in committee.",20465,3349,FALSE,NA,171.74,5.4,7247,1386.3,2025,Democrat
California,CA,CA A    1159,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A1159&ciq=urn:user:PA196471263&client_md=8c6923d07346257d01cf5e462b0d1cad&mode=current_text,Student Personal Information,Addis (D),Democrat,"Education Use, Private Sector Use",Pending - Carryover - Assembly Privacy and Consumer Protection Committee,45740,2025-02,"Applies the provisions of the K-12 Pupil Online Personal Information Protection Act and the Early Learning Personal Information Protection Act to an operator of a website, online service, online application, or mobile application with actual knowledge that the site, service, or application is used for the applicable school purposes and was designed or marketed for those purposes. Enacts the Higher Education Student Information Protection Act. Authorizes a harmed student or pupil to bring a civil action.","02/20/2025 - INTRODUCED.
03/24/2025 - To ASSEMBLY Committees on PRIVACY AND CONSUMER PROTECTION and JUDICIARY.
03/24/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION with author's amendments.
03/24/2025 - In ASSEMBLY.  Read second time and amended.  Re-referred to  Committee on PRIVACY AND CONSUMER PROTECTION.",53541,8203,TRUE,Artificial intelligence has the same meaning as defined in Section 3110 of the Civil Code.,171.74,5.4,7247,1386.3,2025,Democrat
California,CA,CA A    1170,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A1170&ciq=urn:user:PA196471263&client_md=9ec0ebc56733c4ac1e490543b8b245f8&mode=current_text,Maintenance of the Codes,Dixon (R),Republican,"Cybersecurity, Education Use, Education/Training, Private Sector Use, Provenance",Enacted - Act No.  2025-067,07/28/2025 - Enacted,2025-02,Makes nonsubstantive changes in various provisions of the law to effectuate the recommendations made by the Legislative Counsel to the Legislature.,"02/21/2025 - INTRODUCED.
03/03/2025 - To ASSEMBLY Committee on JUDICIARY.
03/25/2025 - From ASSEMBLY Committee on JUDICIARY:  Do pass.  To Consent Calendar.
03/27/2025 - In ASSEMBLY.  Read second time.  To Consent Calendar.
04/01/2025 - In ASSEMBLY.  Read third time.  Passed ASSEMBLY.  *****To SENATE.
05/07/2025 - To SENATE Committee on JUDICIARY.
07/01/2025 - From SENATE Committee on JUDICIARY:  Do pass.  To Consent Calendar.
07/03/2025 - In SENATE.  Read second time.  To Consent Calendar.
07/10/2025 - In SENATE.  Read third time. Passed SENATE.  To enrollment.
07/14/2025 - Enrolled.
07/15/2025 - *****To GOVERNOR.
07/28/2025 - Signed by GOVERNOR.
07/28/2025 - Chaptered by Secretary of State.  Chapter No. 2025-067",1249982,197438,FALSE,NA,171.74,5.4,7247,1386.3,2025,Democrat
California,CA,CA A    1242,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A1242&ciq=urn:user:PA196471263&client_md=0df577ffc0ae3f23698587f442e1eb6d&mode=current_text,Language Access,Nguyen (D),Democrat,Government Use,Pending - Carryover - Senate Appropriations Committee,45847,2025-02,Relates to the Dymally-Alatorre Bilingual Services Act. Revises the definition of substantial number of non-English-speaking people to include the higher of either the people served by or eligible to be served by a State agency. Requires the State Health and Human Services Agency to designate a Language Access Director to ensure individuals with limited English proficiency and individuals who are deaf or hard of hearing have meaningful access to government programs and services.,"02/21/2025 - INTRODUCED.
03/28/2025 - To ASSEMBLY Committees on HEALTH and HUMAN SERVICES.
03/28/2025 - From ASSEMBLY Committee on HEALTH with author's amendments.
03/28/2025 - In ASSEMBLY.  Read second time and amended. Re-referred to Committee on HEALTH.
04/22/2025 - From ASSEMBLY Committee on HEALTH:  Do pass to Committee on     HUMAN SERVICES.
04/23/2025 - In ASSEMBLY. Coauthors revised.
04/29/2025 - From ASSEMBLY Committee on HUMAN SERVICES:  Do pass to Committee on APPROPRIATIONS.
04/30/2025 - In ASSEMBLY. Coauthors revised.
05/14/2025 - In ASSEMBLY Committee on APPROPRIATIONS: To Suspense File.
05/23/2025 - From ASSEMBLY Committee on APPROPRIATIONS:  Do pass as amended.
05/23/2025 - In ASSEMBLY.  Assembly Rule 63 suspended.
05/23/2025 - In ASSEMBLY.  Read second time and amended.  To second reading.
05/27/2025 - In ASSEMBLY.  Read second time.  To third reading.
06/03/2025 - In ASSEMBLY.  Read third time.  Passed ASSEMBLY.  *****To SENATE.
06/18/2025 - To SENATE Committees on HEALTH and GOVERNMENTAL ORGANIZATION.
07/02/2025 - From SENATE Committee on HEALTH:  Do pass to Committee on GOVERNMENTAL ORGANIZATION.
07/08/2025 - From SENATE Committee on GOVERNMENTAL ORGANIZATION:  Do pass as amended to Committee on APPROPRIATIONS.
07/09/2025 - In SENATE.  Read second time and amended. Re-referred to Committee on APPROPRIATIONS.
08/18/2025 - In SENATE Committee on APPROPRIATIONS: To Suspense File.
08/29/2025 - In SENATE Committee on APPROPRIATIONS.  Held in committee and made a Two-year bill.",21082,3176,FALSE,NA,171.74,5.4,7247,1386.3,2025,Democrat
California,CA,CA A    1331,http://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A1331&ciq=urn:user:PA196471263&client_md=bb772d9e31d999b7c5b6803af4ad7333&mode=current_text,Workplace Surveillance,Elhawary (D),Democrat,"Effect on Labor/Employment, Private Sector Use",Pending - Carryover - Senate Inactive File,45904,2025-02,"Limits the use of workplace surveillance tools by employers, including by prohibiting an employer from monitoring or surveilling workers in employee-only, employer-designated areas. Provides workers with the right to leave behind workplace surveillance tools that are on their person or in their possession during off-duty hours. Prohibits a worker from removing or physically tampering with any component of a workplace surveillance tool that is part of or embedded in employer equipment or vehicles.","02/21/2025 - INTRODUCED.
03/28/2025 - To ASSEMBLY Committees on LABOR AND EMPLOYMENT, PRIVACY AND CONSUMER PROTECTION, and JUDICIARY.
04/02/2025 - From ASSEMBLY Committee on LABOR AND EMPLOYMENT:  Do pass to Committee on PRIVACY AND CONSUMER PROTECTION.
04/10/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION with author's amendments.
04/10/2025 - In ASSEMBLY.  Read second time and amended.  Re-referred to ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION.
04/22/2025 - From ASSEMBLY Committee on PRIVACY AND CONSUMER PROTECTION: Do pass as amended to Committee on JUDICIARY.
04/28/2025 - In ASSEMBLY.  Read second time and amended. Re-referred to Committee on JUDICIARY.
05/01/2025 - In ASSEMBLY.  Suspend Assembly Rule 96.
05/01/2025 - Re-referred to ASSEMBLY Committee on APPROPRIATIONS.
05/14/2025 - In ASSEMBLY Committee on APPROPRIATIONS: To Suspense File.
05/23/2025 - From ASSEMBLY Committee on APPROPRIATIONS:  Do pass as amended.
05/23/2025 - In ASSEMBLY.  Assembly Rule 63 suspended.
05/23/2025 - In ASSEMBLY.  Read second time and amended.  To second reading.
05/27/2025 - In ASSEMBLY.  Read second time.  To third reading.
06/05/2025 - In ASSEMBLY.  Read third time.  Passed ASSEMBLY.  *****To SENATE.
06/18/2025 - To SENATE Committees on LABOR, PUBLIC EMPLOYMENT AND RETIREMENT and JUDICIARY.
06/19/2025 - From SENATE Committee on LABOR, PUBLIC EMPLOYMENT AND RETIREMENT with author's amendments.
06/19/2025 - In SENATE.  Read second time and amended. Re-referred to Committee on LABOR, PUBLIC EMPLOYMENT AND RETIREMENT.
06/25/2025 - From SENATE Committee on LABOR, PUBLIC EMPLOYMENT AND RETIREMENT: Do pass to Committee on JUDICIARY.
07/15/2025 - From SENATE Committee on JUDICIARY:  Do pass as amended to Committee on APPROPRIATIONS.
07/17/2025 - In SENATE.  Read second time and amended. Re-referred to Committee on APPROPRIATIONS.
08/18/2025 - In SENATE Committee on APPROPRIATIONS: To Suspense File.
08/29/2025 - From SENATE Committee on APPROPRIATIONS:  Do pass as amended.
08/29/2025 - In SENATE.  Read second time and amended.  To second reading.
09/02/2025 - In SENATE.  Read second time.  To third reading.
09/04/2025 - In SENATE.  Read third time and amended.  To second reading.
09/08/2025 - In SENATE.  Read second time.  To third reading.
09/13/2025 - In SENATE.  From third reading.  To Inactive File.",10423,1666,TRUE,generative artificial intelligence monitoring capacity.,171.74,5.4,7247,1386.3,2025,Democrat
